HR,timeUnix,SUBJ_ID
83.0,1612524209.0,103
84.0,1612524210.0,103
75.0,1612524211.0,103
70.5,1612524212.0,103
67.6,1612524213.0,103
65.83,1612524214.0,103
64.14,1612524215.0,103
63.12,1612524216.0,103
62.56,1612524217.0,103
62.2,1612524218.0,103
62.0,1612524219.0,103
62.0,1612524220.0,103
62.08,1612524221.0,103
62.14,1612524222.0,103
62.2,1612524223.0,103
62.25,1612524224.0,103
62.29,1612524225.0,103
62.28,1612524226.0,103
62.16,1612524227.0,103
61.75,1612524228.0,103
62.19,1612524229.0,103
63.27,1612524230.0,103
64.13,1612524231.0,103
64.88,1612524232.0,103
65.52,1612524233.0,103
66.12,1612524234.0,103
66.67,1612524235.0,103
67.07,1612524236.0,103
67.31,1612524237.0,103
67.57,1612524238.0,103
67.03,1612524239.0,103
66.56,1612524240.0,103
66.09,1612524241.0,103
65.71,1612524242.0,103
65.4,1612524243.0,103
65.11,1612524244.0,103
64.89,1612524245.0,103
64.68,1612524246.0,103
64.54,1612524247.0,103
64.4,1612524248.0,103
64.27,1612524249.0,103
64.14,1612524250.0,103
64.0,1612524251.0,103
63.86,1612524252.0,103
63.71,1612524253.0,103
63.59,1612524254.0,103
63.47,1612524255.0,103
63.35,1612524256.0,103
63.24,1612524257.0,103
63.14,1612524258.0,103
63.04,1612524259.0,103
62.94,1612524260.0,103
62.85,1612524261.0,103
62.76,1612524262.0,103
62.67,1612524263.0,103
62.59,1612524264.0,103
62.51,1612524265.0,103
62.43,1612524266.0,103
62.36,1612524267.0,103
62.27,1612524268.0,103
61.83,1612524269.0,103
61.35,1612524270.0,103
61.32,1612524271.0,103
61.28,1612524272.0,103
61.25,1612524273.0,103
61.18,1612524274.0,103
61.17,1612524275.0,103
61.12,1612524276.0,103
61.03,1612524277.0,103
60.93,1612524278.0,103
60.82,1612524279.0,103
60.68,1612524280.0,103
60.53,1612524281.0,103
60.38,1612524282.0,103
60.25,1612524283.0,103
60.1,1612524284.0,103
59.95,1612524285.0,103
59.83,1612524286.0,103
59.75,1612524287.0,103
59.75,1612524288.0,103
59.47,1612524289.0,103
58.93,1612524290.0,103
58.45,1612524291.0,103
57.98,1612524292.0,103
57.53,1612524293.0,103
